First Name,Last Name,Email,Gender,Age,Institution,Already Attended Reception,Joined Facebook Group,Attended The Living Room 1.0,Attended Room With A View 1.0
Penelope,Adams,p.adams@randatmail.com,Female,18,ALU Rwanda,No,Yes,No,No
Catherine,Adams,c.adams@randatmail.com,Female,28,ALX,Yes,Yes,Yes,No
Aida,Adams,a.adams@randatmail.com,Female,30,ALU Rwanda,No,No,Yes,Yes
Sawyer,Adams,s.adams@randatmail.com,Male,23,ALU Rwanda,Yes,Yes,No,Yes
Adam,Allen,a.allen@randatmail.com,Male,29,ALU Rwanda,Yes,No,No,No
Fiona,Armstrong,f.armstrong@randatmail.com,Female,20,ALU Alumni,Yes,Yes,Yes,Yes
Steven,Baker,s.baker@randatmail.com,Male,21,ALU Rwanda,Yes,Yes,No,Yes
Tara,Barnes,t.barnes@randatmail.com,Female,20,ALU Rwanda,Yes,Yes,Yes,No
Emily,Barnes,e.barnes@randatmail.com,Female,21,ALU Rwanda,No,Yes,No,Yes
Alford,Bennett,a.bennett@randatmail.com,Male,23,ALU Rwanda,No,Yes,No,Yes
John,Brooks,j.brooks@randatmail.com,Male,22,ALX,No,Yes,No,No
Lucas,Brown,l.brown@randatmail.com,Male,30,ALU Rwanda,Yes,Yes,Yes,No
Jenna,Cameron,j.cameron@randatmail.com,Female,28,ALU Mauritius,Yes,Yes,No,Yes
Sophia,Cameron,s.cameron@randatmail.com,Female,20,ALX,Yes,No,Yes,No
Alissa,Cameron,a.cameron@randatmail.com,Female,27,ALU Mauritius,Yes,Yes,No,No
Sienna,Carter,s.carter@randatmail.com,Female,24,ALU Rwanda,No,Yes,Yes,Yes
Sienna,Casey,s.casey@randatmail.com,Female,23,ALU Mauritius,No,Yes,No,No
Olivia,Chapman,o.chapman@randatmail.com,Female,19,ALU Rwanda,No,Yes,No,Yes
Maddie,Cole,m.cole@randatmail.com,Female,27,ALX,No,No,No,Yes
Hailey,Cooper,h.cooper@randatmail.com,Female,24,ALU Rwanda,No,Yes,Yes,Yes
Mary,Craig,m.craig@randatmail.com,Female,25,ALU Rwanda,Yes,Yes,No,Yes
Maximilian,Cunningham,m.cunningham@randatmail.com,Male,25,ALU Rwanda,No,No,Yes,No
Elian,Dixon,e.dixon@randatmail.com,Male,24,ALX,No,Yes,No,No
Evelyn,Douglas,e.douglas@randatmail.com,Female,22,ALX,Yes,No,No,Yes
Brooke,Douglas,b.douglas@randatmail.com,Female,20,ALU Rwanda,No,No,No,No
Adele,Ellis,a.ellis@randatmail.com,Female,24,ALX,Yes,Yes,No,No
Amy,Ellis,a.ellis@randatmail.com,Female,21,ALU Rwanda,Yes,No,Yes,No
Abraham,Ellis,a.ellis@randatmail.com,Male,18,ALU Rwanda,No,No,No,No
Oscar,Evans,o.evans@randatmail.com,Male,19,ALU Alumni,Yes,No,Yes,No
James,Farrell,j.farrell@randatmail.com,Male,27,ALU Rwanda,Yes,No,No,Yes
Honey,Fowler,h.fowler@randatmail.com,Female,22,ALX,No,No,Yes,Yes
Dale,Gibson,d.gibson@randatmail.com,Male,19,ALU Rwanda,No,No,Yes,Yes
Aiden,Gibson,a.gibson@randatmail.com,Male,24,ALU Mauritius,No,No,Yes,Yes
Cherry,Hamilton,c.hamilton@randatmail.com,Female,21,ALX,Yes,Yes,No,Yes
Adison,Harper,a.harper@randatmail.com,Male,24,ALX,No,Yes,Yes,No
Carl,Harrison,c.harrison@randatmail.com,Male,23,ALU Rwanda,Yes,No,Yes,Yes
Adrianna,Hill,a.hill@randatmail.com,Female,24,ALU Rwanda,No,No,Yes,No
Abigail,Holmes,a.holmes@randatmail.com,Female,27,ALU Rwanda,No,No,No,Yes
Amelia,Hunt,a.hunt@randatmail.com,Female,25,ALU Rwanda,Yes,Yes,Yes,No
Adele,Johnston,a.johnston@randatmail.com,Female,28,ALU Rwanda,No,Yes,Yes,No
Ned,Johnston,n.johnston@randatmail.com,Male,20,ALU Rwanda,No,Yes,No,Yes
April,Kelley,a.kelley@randatmail.com,Female,30,ALU Rwanda,No,Yes,Yes,Yes
Anna,Kelly,a.kelly@randatmail.com,Female,28,ALU Rwanda,No,Yes,No,Yes
Andrew,Lloyd,a.lloyd@randatmail.com,Male,18,ALU Rwanda,No,Yes,Yes,Yes
Steven,Martin,s.martin@randatmail.com,Male,20,ALU Rwanda,Yes,Yes,Yes,No
Melissa,Mason,m.mason@randatmail.com,Female,24,ALX,Yes,Yes,Yes,Yes
Connie,Mason,c.mason@randatmail.com,Female,24,ALU Rwanda,No,Yes,Yes,Yes
Jessica,Mitchell,j.mitchell@randatmail.com,Female,25,ALU Rwanda,No,No,No,No
Brad,Mitchell,b.mitchell@randatmail.com,Male,25,ALU Rwanda,Yes,Yes,Yes,No
Chloe,Mitchell,c.mitchell@randatmail.com,Female,20,ALU Rwanda,No,No,Yes,Yes
