First Name,Last Name,Email,Gender,Age,Institution,Year of Graduation,Graduation Month,Already Attended Reception,Joined Facebook Group,Attended The Living Room 1.0,Attended Room With A View 1.0
Penelope,Adams,p.adams@randatmail.com,Female,18,ALU Rwanda,2023,January,No,Yes,No,No
Catherine,Adams,c.adams@randatmail.com,Female,28,ALX,2019,April,Yes,Yes,Yes,No
Aida,Adams,a.adams@randatmail.com,Female,30,ALU Rwanda,2023,January,No,No,Yes,Yes
Sawyer,Adams,s.adams@randatmail.com,Male,23,ALU Rwanda,2022,January,Yes,Yes,No,Yes
Adam,Allen,a.allen@randatmail.com,Male,29,ALU Rwanda,2021,January,Yes,No,No,No
Fiona,Armstrong,f.armstrong@randatmail.com,Female,20,ALU Alumni,,,Yes,Yes,Yes,Yes
Steven,Baker,s.baker@randatmail.com,Male,21,ALU Rwanda,2023,January,Yes,Yes,No,Yes
Tara,Barnes,t.barnes@randatmail.com,Female,20,ALU Rwanda,2022,January,Yes,Yes,Yes,No
Emily,Barnes,e.barnes@randatmail.com,Female,21,ALU Rwanda,2021,January,No,Yes,No,Yes
Alford,Bennett,a.bennett@randatmail.com,Male,23,ALU Rwanda,2021,January,No,Yes,No,Yes
John,Brooks,j.brooks@randatmail.com,Male,22,ALX,2019,April,No,Yes,No,No
Lucas,Brown,l.brown@randatmail.com,Male,30,ALU Rwanda,2023,January,Yes,Yes,Yes,No
Jenna,Cameron,j.cameron@randatmail.com,Female,28,ALU Mauritius,2020,Feburary,Yes,Yes,No,Yes
Sophia,Cameron,s.cameron@randatmail.com,Female,20,ALX,2019,April,Yes,No,Yes,No
Alissa,Cameron,a.cameron@randatmail.com,Female,27,ALU Mauritius,2020,December,Yes,Yes,No,No
Sienna,Carter,s.carter@randatmail.com,Female,24,ALU Rwanda,2023,January,No,Yes,Yes,Yes
Sienna,Casey,s.casey@randatmail.com,Female,23,ALU Mauritius,2020,Feburary,No,Yes,No,No
Olivia,Chapman,o.chapman@randatmail.com,Female,19,ALU Rwanda,2021,July,No,Yes,No,Yes
Maddie,Cole,m.cole@randatmail.com,Female,27,ALX,2020,April,No,No,No,Yes
Hailey,Cooper,h.cooper@randatmail.com,Female,24,ALU Rwanda,2021,January,No,Yes,Yes,Yes
Mary,Craig,m.craig@randatmail.com,Female,25,ALU Rwanda,2021,July,Yes,Yes,No,Yes
Maximilian,Cunningham,m.cunningham@randatmail.com,Male,25,ALU Rwanda,2021,January,No,No,Yes,No
Elian,Dixon,e.dixon@randatmail.com,Male,24,ALX,2019,April,No,Yes,No,No
Evelyn,Douglas,e.douglas@randatmail.com,Female,22,ALX,2019,April,Yes,No,No,Yes
Brooke,Douglas,b.douglas@randatmail.com,Female,20,ALU Rwanda,2023,January,No,No,No,No
Adele,Ellis,a.ellis@randatmail.com,Female,24,ALX,2019,April,Yes,Yes,No,No
Amy,Ellis,a.ellis@randatmail.com,Female,21,ALU Rwanda,2023,January,Yes,No,Yes,No
Abraham,Ellis,a.ellis@randatmail.com,Male,18,ALU Rwanda,2023,January,No,No,No,No
Oscar,Evans,o.evans@randatmail.com,Male,19,ALU Alumni,,,Yes,No,Yes,No
James,Farrell,j.farrell@randatmail.com,Male,27,ALU Rwanda,2022,January,Yes,No,No,Yes
Honey,Fowler,h.fowler@randatmail.com,Female,22,ALX,2019,April,No,No,Yes,Yes
Dale,Gibson,d.gibson@randatmail.com,Male,19,ALU Rwanda,2021,January,No,No,Yes,Yes
Aiden,Gibson,a.gibson@randatmail.com,Male,24,ALU Mauritius,2020,Feburary,No,No,Yes,Yes
Cherry,Hamilton,c.hamilton@randatmail.com,Female,21,ALX,2019,April,Yes,Yes,No,Yes
Adison,Harper,a.harper@randatmail.com,Male,24,ALX,2019,April,No,Yes,Yes,No
Carl,Harrison,c.harrison@randatmail.com,Male,23,ALU Rwanda,2022,January,Yes,No,Yes,Yes
Adrianna,Hill,a.hill@randatmail.com,Female,24,ALU Rwanda,2023,January,No,No,Yes,No
Abigail,Holmes,a.holmes@randatmail.com,Female,27,ALU Rwanda,2023,January,No,No,No,Yes
Amelia,Hunt,a.hunt@randatmail.com,Female,25,ALU Rwanda,2023,January,Yes,Yes,Yes,No
Adele,Johnston,a.johnston@randatmail.com,Female,28,ALU Rwanda,2021,July,No,Yes,Yes,No
Ned,Johnston,n.johnston@randatmail.com,Male,20,ALU Rwanda,2023,January,No,Yes,No,Yes
April,Kelley,a.kelley@randatmail.com,Female,30,ALU Rwanda,2021,January,No,Yes,Yes,Yes
Anna,Kelly,a.kelly@randatmail.com,Female,28,ALU Rwanda,2022,January,No,Yes,No,Yes
Andrew,Lloyd,a.lloyd@randatmail.com,Male,18,ALU Rwanda,2023,January,No,Yes,Yes,Yes
Steven,Martin,s.martin@randatmail.com,Male,20,ALU Rwanda,2021,July,Yes,Yes,Yes,No
Melissa,Mason,m.mason@randatmail.com,Female,24,ALX,2020,April,Yes,Yes,Yes,Yes
Connie,Mason,c.mason@randatmail.com,Female,24,ALU Rwanda,2023,January,No,Yes,Yes,Yes
Jessica,Mitchell,j.mitchell@randatmail.com,Female,25,ALU Rwanda,2023,January,No,No,No,No
Brad,Mitchell,b.mitchell@randatmail.com,Male,25,ALU Rwanda,2023,January,Yes,Yes,Yes,No
Chloe,Mitchell,c.mitchell@randatmail.com,Female,20,ALU Rwanda,2023,January,No,No,Yes,Yes
Edward,Morgan,e.morgan@randatmail.com,Male,19,ALU Rwanda,2023,January,No,No,Yes,No
Charlotte,Morgan,c.morgan@randatmail.com,Female,20,ALU Rwanda,2022,January,No,Yes,Yes,Yes
David,Morgan,d.morgan@randatmail.com,Male,28,ALX,2020,April,Yes,Yes,No,Yes
April,Morris,a.morris@randatmail.com,Female,26,ALU Rwanda,2023,January,No,Yes,No,Yes
Carina,Morris,c.morris@randatmail.com,Female,25,ALU Rwanda,2021,January,Yes,No,No,No
Martin,Morris,m.morris@randatmail.com,Male,30,ALU Rwanda,2023,January,No,No,No,No
Naomi,Morrison,n.morrison@randatmail.com,Female,19,ALU Rwanda,2023,January,No,No,No,Yes
Fenton,Murray,f.murray@randatmail.com,Male,28,ALU Rwanda,2021,January,No,No,No,No
Alexia,Nelson,a.nelson@randatmail.com,Female,18,ALU Rwanda,2022,January,No,No,No,Yes
Blake,Nelson,b.nelson@randatmail.com,Male,20,ALX,2019,April,No,Yes,Yes,Yes
Aston,Nelson,a.nelson@randatmail.com,Male,24,ALU Rwanda,2021,January,No,Yes,No,No
Bruce,Nelson,b.nelson@randatmail.com,Male,22,ALX,2020,April,Yes,Yes,Yes,Yes
Alissa,Parker,a.parker@randatmail.com,Female,21,ALU Alumni,,,Yes,No,Yes,Yes
Antony,Payne,a.payne@randatmail.com,Male,18,ALU Mauritius,2021,December,Yes,No,Yes,Yes
Carl,Perkins,c.perkins@randatmail.com,Male,26,ALU Mauritius,2020,December,Yes,Yes,Yes,Yes
April,Perry,a.perry@randatmail.com,Female,28,ALU Rwanda,2023,January,Yes,Yes,Yes,Yes
Wilson,Phillips,w.phillips@randatmail.com,Male,23,ALU Rwanda,2023,January,Yes,Yes,Yes,Yes
Michael,Phillips,m.phillips@randatmail.com,Male,19,ALU Rwanda,2023,January,No,Yes,Yes,No
Maddie,Reed,m.reed@randatmail.com,Female,25,ALU Rwanda,2022,January,No,No,Yes,Yes
Audrey,Richards,a.richards@randatmail.com,Female,18,ALU Rwanda,2021,January,Yes,Yes,Yes,Yes
Amy,Richards,a.richards@randatmail.com,Female,30,ALU Rwanda,2023,January,No,Yes,Yes,Yes
Miranda,Roberts,m.roberts@randatmail.com,Female,28,ALU Rwanda,2023,January,Yes,Yes,Yes,Yes
Mary,Ross,m.ross@randatmail.com,Female,30,ALU Rwanda,2023,January,No,No,No,No
Thomas,Ross,t.ross@randatmail.com,Male,27,ALU Mauritius,2020,December,Yes,Yes,No,No
Alford,Ross,a.ross@randatmail.com,Male,28,ALU Rwanda,2021,January,No,Yes,No,Yes
Jenna,Russell,j.russell@randatmail.com,Female,19,ALU Mauritius,,,No,Yes,No,No
Tess,Ryan,t.ryan@randatmail.com,Female,20,ALX,2020,April,No,Yes,Yes,No
Maya,Scott,m.scott@randatmail.com,Female,21,ALX,2020,April,Yes,No,Yes,Yes
Dominik,Spencer,d.spencer@randatmail.com,Male,27,ALU Rwanda,2023,January,Yes,No,Yes,No
Spike,Stevens,s.stevens@randatmail.com,Male,28,ALU Alumni,,,Yes,Yes,Yes,No
Vincent,Stevens,v.stevens@randatmail.com,Male,24,ALX,2019,April,No,Yes,No,Yes
Amanda,Stewart,a.stewart@randatmail.com,Female,29,ALU Mauritius,2020,Feburary,No,Yes,Yes,No
Kate,Stewart,k.stewart@randatmail.com,Female,30,ALU Rwanda,2023,January,Yes,Yes,No,Yes
Gianna,Stewart,g.stewart@randatmail.com,Female,21,ALU Rwanda,2021,January,Yes,Yes,Yes,No
Vanessa,Stewart,v.stewart@randatmail.com,Female,24,ALU Rwanda,2023,January,No,Yes,No,Yes
Myra,Stewart,m.stewart@randatmail.com,Female,24,ALU Rwanda,2021,January,No,Yes,No,No
Myra,Sullivan,m.sullivan@randatmail.com,Female,21,ALU Rwanda,2022,January,Yes,No,No,Yes
Maddie,Taylor,m.taylor@randatmail.com,Female,26,ALU Rwanda,2022,January,No,Yes,No,Yes
Lenny,Taylor,l.taylor@randatmail.com,Male,22,ALU Rwanda,2023,January,Yes,No,No,Yes
Ryan,Thomas,r.thomas@randatmail.com,Male,21,ALU Rwanda,2021,January,Yes,Yes,Yes,No
Kelsey,Walker,k.walker@randatmail.com,Female,28,ALU Rwanda,2023,January,Yes,No,No,No
Heather,Walker,h.walker@randatmail.com,Female,29,ALU Mauritius,2020,December,Yes,No,No,Yes
Alen,Warren,a.warren@randatmail.com,Male,25,ALU Rwanda,2021,January,No,Yes,No,No
Preston,Warren,p.warren@randatmail.com,Male,19,ALU Rwanda,2023,January,Yes,No,No,Yes
Kelsey,Watson,k.watson@randatmail.com,Female,30,ALX,2019,April,No,Yes,No,No
Byron,Wells,b.wells@randatmail.com,Male,20,ALU Rwanda,2021,January,Yes,Yes,Yes,Yes
Blake,Wells,b.wells@randatmail.com,Male,30,ALU Rwanda,2022,January,No,No,No,Yes
